id,name,host_id,host_name,latitude,longitude,price
27640141,Fibre internet*Monthly Discount*Character House,2343887,Liora,43.66434,-79.42496,90
27647117,Cozy studio in an amazing neighbourhood!,96809956,Alexandra,43.67943,-79.34853,45
27826009,Downtown condo,17410774,Brianne,43.64698,-79.39121,130
27647509,Dundas west subway station apartment BEST LOCATION,179249078,Rosana,43.65953,-79.45416,80
27653375,Exquisite 1200 sqft 3BR + Den in core-downtown,135718015,Ayk,43.64126,-79.38277,1999
27827073,Designer Retreat in the Heart of The Beach,1569948,Andrew,43.6668,-79.30347,359
27831815,"Bright, Central, Spacious Condo - Heart of Toronto",35028799,Nathalie,43.64787,-79.39333,495
27658681,The Beach- Bright Suite with Kitchenette,134949475,Dale,43.67634,-79.29922,185
27675456,Private bachelor near Warden Station 10min by foot,141030429,Jacky,43.70043,-79.2766,54
27832397,The Ark Studio,34233250,Kate,43.64544,-79.44713,90
27677502,Cozy Bungalow near subway Young/Lawrence,13813543,Shuwan,43.72452,-79.40971,173
27834504,Boho Oasis,210192306,Jessie,43.64946,-79.43424,150
27692483,Victorian charm & modern confort steps from U of T,13746468,Caroline,43.66164,-79.40305,120
27835179,★CN Tower View ★ Connected 2 Bed + Ensuite Bath,18984137,Jack,43.64421,-79.40404,100
27694920,Newly Renovated Queen Street W Apartments -3rd Fl.,29732268,Dante,43.63809,-79.44076,150
27835763,Clean Master Bedroom with Private Ensuite Bathroom,210204725,Mohamed,43.65579,-79.57137,100
27838056,Bedroom 1B-near Bayview & Sheppard Subway,26602057,Shahrzad,43.77025,-79.37696,90
27695910,Master Bedroom with Ensuite in DT TO w/parking,209068050,John,43.64088,-79.39818,51
27847196,★CN Tower View★ 3 Bed + 2 Bath in Fashion District,18984137,Jack,43.64324,-79.40169,300
27700633,Finch/ Victoria Park comfy,190495083,Lucy,43.79344,-79.32679,21
27854767,Toronto Beautiful bedroom near subway,30363957,Jia,43.66554,-79.44823,50
27701168,❤ Mid-Century Chic Home with Parking and Patio,9817479,Jordan,43.66007,-79.44844,494
27867942,Room Grand Sleek - Midtown,113147806,Tai,43.69609,-79.44184,48
27875720,Azure Oasis in the Annex,51070968,Lish,43.67026,-79.41895,121
27704154,Kashaneh at Minto,12033867,Meisam,43.76176,-79.41008,199
27877707,"Beautiful condo steps from Rogers Centre, CN Tower",72393986,Graham,43.64628,-79.39146,150
27704943,Basement apartment one or two people,111539347,Hildson,43.69234,-79.43847,80
27879646,SuperWalkableTransit Friendly Greektown Spot,4933919,Alina,43.67448,-79.34065,45
27705416,LUXURY LIVING IN THE HEART OF DOWNTOWN TORONTO,189574759,Adam,43.64294,-79.38852,109
27898676,Best location near Subway & Mall and Centenial college,67544227,Susie,43.78603,-79.2597,32
27724908,Luxury 1200 sqft open concept downtown loft,209314766,Michal,43.64175,-79.40181,900
27899203,Toronto Town House,210745137,Sergio,43.70091,-79.27558,100
27900641,Downtown Toronto Condominium,87560063,Robb,43.63447,-79.39815,115
27725239,3 Bedroom - 3bath - Calm lovely house to enjoy!,209274705,Julio,43.82406,-79.21506,67
27901848,Downtown Core. CNTOWER & Lake Views!,51598323,Krishesh,43.64118,-79.38332,89
27733673,High Park Home the perfect blend of Old & New.,16307111,Lisa,43.64763,-79.45689,1350
27902372,BASEMENT APARTMENT (1 Bedroom-2 Beds),115954043,Mahmud,43.743,-79.29892,71
27903533,Luxurious Condo in Trendy Queen West,135029869,Paula,43.64862,-79.3993,130
27734689,Davisville village 2 Bedroom Apartment,25660537,Kevin,43.7101,-79.37959,140
27906221,Studio  apartment in Midtown,1843167,Katherine,43.71419,-79.40471,75
27734993,Spacious Forest Hill Gem,209399200,Matthew,43.69796,-79.40637,75
27759221,Modern & Unique Space Steps from Subway!,2724405,LeVi,43.64825,-79.48183,122
27920693,2 bedroom with parking and outdoor deck!,206213810,Leo,43.73291,-79.39429,115
27925541,Toronto/Scarborough Walk-out Basement Appartment,203505081,Jay,43.80283,-79.27042,120
27759317,★CN Tower View ★ Private King Bed + Ensuite Bath,18984137,Jack,43.64269,-79.40209,100
27761046,2 Bdrm Downtown Condo - Hidden Creative Oasis,7793831,Jess,43.64223,-79.4035,150
27761289,Luxury Downtown Designer Loft with Large Terrace,9586202,Andreas,43.63876,-79.41931,1000
27762977,"Stylish Suite w/ kitchen, laundry.  Beach Toronto",180058023,Ofelia,43.67353,-79.28945,139
27926611,Toronto High Park Apartment,210111422,Nick,43.65756,-79.4646,160
27928162,Old Dtwn *LUXURY* 2 Desks/Fireplace/Garage Parking,105618845,Rob And Lisa,43.66073,-79.3679,230
