STOREID,STREET,CITY,PROV,LAT,LONG
103156,7337 Kingston Rd,Toronto,ON,43.799745,-79.144574
100046,2294 Kingston Rd,Toronto,ON,43.705885,-79.251876
102721,415 Danforth Rd,Toronto,ON,43.706307,-79.268551
102008,2183 Queen St E,Toronto,ON,43.67048,-79.298
103972,2480 Gerrard Street,Toronto,ON,43.687367,-79.285314
102687,3075 Danforth Ave,Toronto,ON,43.691287,-79.28803
103296,682 Kennedy Road,Toronto,ON,43.72654,-79.265528
102435,2575 Danforth Ave,Toronto,ON,43.68843,-79.30052
103338,3050 Lawrence Ave E,Toronto,ON,43.75515,-79.24771
102968,969 Eastern Avenue,Toronto,ON,43.6629,-79.32353
101723,731 Eastern Ave,Toronto,ON,43.659668,-79.328756
102820,829 Lakeshore Blvd. East,Toronto,ON,43.654692,-79.337919
104874,2200 Eglinton Ave E,Toronto,ON,43.72932,-79.28142
102950,325 Milner Ave,Toronto,ON,43.79018,-79.23416
100443,1630 Danforth Ave,Toronto,ON,43.683623,-79.322325
102823,1641 Markham Rd,Toronto,ON,43.79276,-79.23827
102934,1000 Gerrard Street East,Toronto,ON,43.668618,-79.338299
103387,1195 Danforth Ave,Toronto,ON,43.681491,-79.332251
101348,"1 Eglington Square, Unit #121",Toronto,ON,43.723876,-79.301425
102156,1900 O'Connor Dr,Toronto,ON,43.722922,-79.302902
104819,51 Dockside Drive,Toronto,ON,43.643855,-79.367152
102494,561 O'Connor Dr,Toronto,ON,43.697946,-79.328503
103852,547 Gerrard St E,Toronto,ON,43.664817,-79.354878
105061,14 St. Matthews Road,Toronto,ON,43.66487,-79.355161
101242,743 Pape Ave,Toronto,ON,43.67966,-79.34514
103710,1 Yonge Street,Toronto,ON,43.64192,-79.37461
102722,2044 Lawrence Ave,Toronto,ON,43.74538,-79.29474
101427,200 King St E,Toronto,ON,43.650952,-79.369642
104309,200 King Street East,Toronto,ON,43.650911,-79.370217
102012,481 Danforth Ave,Toronto,ON,43.67798,-79.34959
102000,323 Richmond St E,Toronto,ON,43.653395,-79.36888
103618,1733 Eglinton Avenue East,Toronto,ON,43.725915,-79.312781
101735,40 Bay St,Toronto,ON,43.64313,-79.37788
103477,335 Parliament St,Toronto,ON,43.660205,-79.366312
101880,207 Queens Quay W,Toronto,ON,43.6394,-79.38272
102773,33 Yonge Street,Toronto,ON,43.647931,-79.37621
103935,65 Front St W,Toronto,ON,43.64651,-79.37752
100797,1725 Eglinton Ave E,Toronto,ON,43.726287,-79.316248
101837,1 William Kitchen Rd,Toronto,ON,43.772262,-79.279676
102753,18 King St. East,Toronto,ON,43.649552,-79.376961
103235,200 Bay Street,Toronto,ON,43.64731,-79.3797
104432,180 Wellington Street West,Toronto,ON,43.649055,-79.379121
100460,40 King St W,Toronto,ON,43.648766,-79.379622
104783,175 Dundas Street East,Toronto,ON,43.657008,-79.374293
102253,55 York St,Toronto,ON,43.646167,-79.382607
102930,537 Parliament Street,Toronto,ON,43.66504,-79.36829
100927,1 Richmond St W,Toronto,ON,43.651496,-79.379048
102874,30 Bond St.,Toronto,ON,43.653798,-79.377294
102704,100 Wellington St. West,Toronto,ON,43.647085,-79.382658
102595,2 Queen St E,Toronto,ON,43.652948,-79.378369
103144,33 University Avenue,Toronto,ON,43.646304,-79.383597
103333,200 Front Street W,Toronto,ON,43.64474,-79.38499
103332,333 Bay St.,Toronto,ON,43.650153,-79.380902
101691,130 King St W,Toronto,ON,43.648048,-79.382941
102115,90 Adelaide St W,Toronto,ON,43.649661,-79.38185
102401,360 Bay St,Toronto,ON,43.650652,-79.38132
103389,150 King Street West,Toronto,ON,43.64792,-79.38354
102614,145 King St W,Toronto,ON,43.647582,-79.383956
103310,220 Yonge Street,Toronto,ON,43.653278,-79.379641
101524,241 Church St,Toronto,ON,43.656761,-79.377025
